Reference genome	Start	End	Gene
NC_017022	208677	210422	EFAU004_00215
NC_017022	210618	211694	EFAU004_00216
NC_017022	211787	213199	EFAU004_00217
NC_017022	213521	215032	EFAU004_00218
NC_017022	215162	215512	EFAU004_00219
NC_017022	215528	216649	EFAU004_00220
NC_017022	216660	217022	EFAU004_00221
NC_017022	217198	217467	EFAU004_00222
NC_017022	217657	218604	EFAU004_00223
NC_017022	222213	224036	EFAU004_00225
NC_017022	227266	228183	EFAU004_00231
NC_017022	228180	228821	EFAU004_00232
NC_017022	230193	231224	EFAU004_00234
NC_017022	235566	236711	EFAU004_00237
NC_017022	236808	237188	EFAU004_00238
NC_017022	237493	240090	EFAU004_00239
NC_017022	255949	256755	EFAU004_00256
NC_017022	257004	258068	EFAU004_00257
NC_017022	258065	259150	EFAU004_00258
NC_017022	259163	260140	EFAU004_00259
NC_017022	261399	262052	EFAU004_00261
NC_017022	262137	263042	EFAU004_00262
NC_017022	263996	264520	EFAU004_00264
NC_017022	264592	264792	EFAU004_00265
NC_017022	264845	265204	EFAU004_00266
NC_017022	266840	268969	EFAU004_00268
NC_017022	270041	270727	EFAU004_00270
NC_017022	270863	271030	EFAU004_00271
NC_017022	271107	271547	EFAU004_00272
NC_017022	271551	272396	EFAU004_00273
NC_017022	272545	273963	EFAU004_00274
NC_017022	360302	360754	EFAU004_00361
NC_017022	360767	361288	EFAU004_00362
NC_017022	361306	362016	EFAU004_00363
NC_017022	363070	364383	EFAU004_00366
NC_017022	364711	366333	EFAU004_00367
NC_017022	373839	374273	EFAU004_00372
NC_017022	374374	375465	EFAU004_00373
NC_017022	375495	376172	EFAU004_00374
NC_017022	377789	379249	EFAU004_00376
NC_017022	379385	380881	EFAU004_00377
NC_017022	380895	382718	EFAU004_00378
NC_017022	382719	383435	EFAU004_00379
NC_017022	385796	386350	EFAU004_00382
NC_017022	387080	387394	EFAU004_00383
NC_017022	387408	387668	EFAU004_00384
NC_017022	387838	388152	EFAU004_00385
NC_017022	388154	389809	EFAU004_00386
NC_017022	389892	392027	EFAU004_00387
NC_017022	394120	394977	EFAU004_00390
NC_017022	395089	395409	EFAU004_00391
NC_017022	395933	396943	EFAU004_00393
NC_017022	396971	397576	EFAU004_00394
NC_017022	398671	399330	EFAU004_00396
NC_017022	399407	401017	EFAU004_00397
NC_017022	402165	402764	EFAU004_00399
NC_017022	404714	405970	EFAU004_00401
NC_017022	406261	408138	EFAU004_00402
NC_017022	408381	409802	EFAU004_00403
NC_017022	409911	411278	EFAU004_00404
NC_017022	411559	412578	EFAU004_00405
NC_017022	412600	413607	EFAU004_00406
NC_017022	414258	416552	EFAU004_00408
NC_017022	416812	418977	EFAU004_00409
NC_017022	419281	420114	EFAU004_00410
NC_017022	420216	421877	EFAU004_00411
NC_017022	423599	424042	EFAU004_00413
NC_017022	424525	425055	EFAU004_00414
NC_017022	425160	425711	EFAU004_00415
NC_017022	425864	426337	EFAU004_00416
NC_017022	426475	427947	EFAU004_00417
NC_017022	427944	428654	EFAU004_00418
NC_017022	428886	429170	EFAU004_00419
NC_017022	429451	429870	EFAU004_00420
NC_017022	429872	430456	EFAU004_00421
NC_017022	430503	431978	EFAU004_00422
NC_017022	432159	432470	EFAU004_00423
NC_017022	432585	434921	EFAU004_00424
NC_017022	435063	435731	EFAU004_00425
NC_017022	435734	436777	EFAU004_00426
NC_017022	437014	437895	EFAU004_00427
NC_017022	438054	438782	EFAU004_00428
NC_017022	439248	439856	EFAU004_00430
NC_017022	439872	440702	EFAU004_00431
NC_017022	440840	441328	EFAU004_00432
NC_017022	441379	442251	EFAU004_00433
NC_017022	442427	442789	EFAU004_00434
NC_017022	442798	443550	EFAU004_00435
NC_017022	446043	446684	EFAU004_00438
NC_017022	450610	451005	EFAU004_00441
NC_017022	451033	451950	EFAU004_00442
NC_017022	452058	453071	EFAU004_00443
NC_017022	453152	453751	EFAU004_00444
NC_017022	453937	454638	EFAU004_00445
NC_017022	457810	459438	EFAU004_00447
NC_017022	459498	460679	EFAU004_00448
NC_017022	460931	462454	EFAU004_00449
NC_017022	462523	463251	EFAU004_00450
NC_017022	463264	464544	EFAU004_00451
NC_017022	464684	465286	EFAU004_00453
NC_017022	465531	465737	EFAU004_00454
NC_017022	466061	466768	EFAU004_00455
NC_017022	466849	467532	EFAU004_00456
NC_017022	467750	469936	EFAU004_00457
NC_017022	470282	470692	EFAU004_00458
NC_017022	470706	471062	EFAU004_00459
NC_017022	477448	477906	EFAU004_00462
NC_017022	478077	479222	EFAU004_00463
NC_017022	479235	480152	EFAU004_00464
NC_017022	480580	481143	EFAU004_00465
NC_017022	481629	482888	EFAU004_00466
NC_017022	483678	484559	EFAU004_00468
NC_017022	484556	485272	EFAU004_00469
NC_017022	485278	485973	EFAU004_00470
NC_017022	485989	486990	EFAU004_00471
NC_017022	486987	488348	EFAU004_00472
NC_017022	489434	490603	EFAU004_00474
NC_017022	490778	492157	EFAU004_00475
NC_017022	493424	494092	EFAU004_00478
NC_017022	494650	496032	EFAU004_00480
NC_017022	496188	497375	EFAU004_00481
NC_017022	497382	498413	EFAU004_00482
NC_017022	498429	499883	EFAU004_00483
NC_017022	500058	500963	EFAU004_00484
NC_017022	501054	501731	EFAU004_00485
NC_017022	501728	501898	EFAU004_00486
NC_017022	502012	502908	EFAU004_00487
NC_017022	502963	504333	EFAU004_00488
NC_017022	504571	505317	EFAU004_00489
NC_017022	505314	506153	EFAU004_00490
NC_017022	506154	507104	EFAU004_00491
NC_017022	507245	507997	EFAU004_00492
NC_017022	508016	509167	EFAU004_00493
NC_017022	509550	510158	EFAU004_00494
NC_017022	510326	511963	EFAU004_00495
NC_017022	512035	513147	EFAU004_00496
NC_017022	513222	514595	EFAU004_00497
NC_017022	514816	515433	EFAU004_00498
NC_017022	515531	515986	EFAU004_00499
NC_017022	516004	517506	EFAU004_00500
NC_017022	517601	517807	EFAU004_00501
NC_017022	517893	518294	EFAU004_00502
NC_017022	518449	519780	EFAU004_00503
NC_017022	519802	520428	EFAU004_00504
NC_017022	520611	521192	EFAU004_00505
NC_017022	521924	522271	EFAU004_00506
NC_017022	540335	541009	EFAU004_00524
NC_017022	541027	542052	EFAU004_00525
NC_017022	542141	543007	EFAU004_00526
NC_017022	543044	544420	EFAU004_00527
NC_017022	544521	545717	EFAU004_00528
NC_017022	545841	546503	EFAU004_00529
NC_017022	546731	547294	EFAU004_00530
NC_017022	547307	547591	EFAU004_00531
NC_017022	547610	548302	EFAU004_00532
NC_017022	548314	548859	EFAU004_00533
NC_017022	552949	554856	EFAU004_00535
NC_017022	555941	556915	EFAU004_00537
NC_017022	557104	558240	EFAU004_00538
NC_017022	558377	558721	EFAU004_00539
NC_017022	561419	562540	EFAU004_00542
NC_017022	562786	564207	EFAU004_00543
NC_017022	564221	565339	EFAU004_00544
NC_017022	566841	567401	EFAU004_00546
NC_017022	567530	567907	EFAU004_00547
NC_017022	567942	569912	EFAU004_00548
NC_017022	570123	571070	EFAU004_00549
NC_017022	571316	571780	EFAU004_00550
NC_017022	571842	572885	EFAU004_00551
NC_017022	573262	574227	EFAU004_00552
NC_017022	574461	575306	EFAU004_00553
NC_017022	575497	576684	EFAU004_00554
NC_017022	576690	577046	EFAU004_00555
NC_017022	577048	577386	EFAU004_00556
NC_017022	577772	578815	EFAU004_00557
NC_017022	579518	580366	EFAU004_00559
NC_017022	580563	581336	EFAU004_00560
NC_017022	581349	582635	EFAU004_00561
NC_017022	582632	583867	EFAU004_00562
NC_017022	584329	585720	EFAU004_00564
NC_017022	610425	611063	EFAU004_00583
NC_017022	611976	612887	EFAU004_00585
NC_017022	613635	614519	EFAU004_00587
NC_017022	623692	623919	EFAU004_00596
NC_017022	624042	624368	EFAU004_00597
NC_017022	624436	625149	EFAU004_00598
NC_017022	625459	626310	EFAU004_00599
NC_017022	626431	628296	EFAU004_00601
NC_017022	628344	629753	EFAU004_00602
NC_017022	629861	630562	EFAU004_00603
NC_017022	632048	632623	EFAU004_00606
NC_017022	632623	633063	EFAU004_00607
NC_017022	633079	633780	EFAU004_00608
NC_017022	634009	634182	EFAU004_00609
NC_017022	634268	634693	EFAU004_00610
NC_017022	635067	636038	EFAU004_00611
NC_017022	636070	637467	EFAU004_00612
NC_017022	637626	638249	EFAU004_00613
NC_017022	642139	642576	EFAU004_00616
NC_017022	643265	645913	EFAU004_00617
NC_017022	646000	646671	EFAU004_00618
NC_017022	647318	648391	EFAU004_00620
NC_017022	648393	649073	EFAU004_00621
NC_017022	649090	649929	EFAU004_00622
NC_017022	649960	651183	EFAU004_00623
NC_017022	651586	653004	EFAU004_00624
NC_017022	653508	653951	EFAU004_00625
NC_017022	654169	655509	EFAU004_00626
NC_017022	655778	656674	EFAU004_00627
NC_017022	656824	657765	EFAU004_00628
NC_017022	657891	659012	EFAU004_00629
NC_017022	659270	660772	EFAU004_00630
NC_017022	660839	661366	EFAU004_00631
NC_017022	661577	662638	EFAU004_00632
NC_017022	662641	663537	EFAU004_00633
NC_017022	665598	666044	EFAU004_00635
NC_017022	666255	667679	EFAU004_00636
NC_017022	667860	668633	EFAU004_00637
NC_017022	669689	670009	EFAU004_00639
NC_017022	670483	671169	EFAU004_00640
NC_017022	671171	672115	EFAU004_00641
NC_017022	672314	672958	EFAU004_00642
NC_017022	673037	674314	EFAU004_00643
NC_017022	674498	675247	EFAU004_00644
NC_017022	676639	676818	EFAU004_00647
NC_017022	676873	677436	EFAU004_00648
NC_017022	677483	677998	EFAU004_00649
NC_017022	678024	678893	EFAU004_00650
NC_017022	679019	679699	EFAU004_00651
NC_017022	679852	680832	EFAU004_00652
NC_017022	681421	681945	EFAU004_00654
NC_017022	682435	682968	EFAU004_00655
NC_017022	683832	684584	EFAU004_00656
NC_017022	684697	685617	EFAU004_00657
NC_017022	685690	686625	EFAU004_00658
NC_017022	692340	692909	EFAU004_00662
NC_017022	693084	693890	EFAU004_00663
NC_017022	694028	695542	EFAU004_00664
NC_017022	695945	696928	EFAU004_00665
NC_017022	696933	697580	EFAU004_00666
NC_017022	697665	698297	EFAU004_00667
NC_017022	698313	698864	EFAU004_00668
NC_017022	698861	699598	EFAU004_00669
NC_017022	699595	700584	EFAU004_00670
NC_017022	700842	701384	EFAU004_00671
NC_017022	701401	702486	EFAU004_00672
NC_017022	702498	703304	EFAU004_00673
NC_017022	703305	704132	EFAU004_00674
NC_017022	704129	705202	EFAU004_00675
NC_017022	721056	722186	EFAU004_00689
NC_017022	723563	723955	EFAU004_00691
NC_017022	723983	725323	EFAU004_00692
NC_017022	726516	728126	EFAU004_00694
NC_017022	728418	729287	EFAU004_00695
NC_017022	729452	730723	EFAU004_00696
NC_017022	730720	732015	EFAU004_00697
NC_017022	732114	732377	EFAU004_00698
NC_017022	736700	737065	EFAU004_00703
NC_017022	737213	738421	EFAU004_00704
NC_017022	738440	738718	EFAU004_00705
NC_017022	738871	739566	EFAU004_00706
NC_017022	740008	740805	EFAU004_00707
NC_017022	740802	741986	EFAU004_00708
NC_017022	742011	743258	EFAU004_00709
NC_017022	743473	745218	EFAU004_00710
NC_017022	745238	745552	EFAU004_00711
NC_017022	745577	746173	EFAU004_00712
NC_017022	746237	746881	EFAU004_00713
NC_017022	746896	747225	EFAU004_00714
NC_017022	747239	748177	EFAU004_00715
NC_017022	748213	749037	EFAU004_00716
NC_017022	749446	750318	EFAU004_00718
NC_017022	751602	752204	EFAU004_00720
NC_017022	752519	754708	EFAU004_00721
NC_017022	755791	757833	EFAU004_00723
NC_017022	758114	758263	EFAU004_00724
NC_017022	758274	759788	EFAU004_00725
NC_017022	759785	760990	EFAU004_00726
NC_017022	761035	761268	EFAU004_00727
NC_017022	762680	763762	EFAU004_00729
NC_017022	763762	764565	EFAU004_00730
NC_017022	764635	765375	EFAU004_00731
NC_017022	765386	766390	EFAU004_00732
NC_017022	769137	769820	EFAU004_00735
NC_017022	770843	772474	EFAU004_00737
NC_017022	773459	773767	EFAU004_00739
NC_017022	773794	774138	EFAU004_00740
NC_017022	774151	774444	EFAU004_00741
NC_017022	777876	778367	EFAU004_00743
NC_017022	781826	782071	EFAU004_00748
NC_017022	782243	783307	EFAU004_00749
NC_017022	783971	784420	EFAU004_00751
NC_017022	784517	785371	EFAU004_00752
NC_017022	785372	786709	EFAU004_00753
NC_017022	786714	786938	EFAU004_00754
NC_017022	786940	787830	EFAU004_00755
NC_017022	787839	788657	EFAU004_00756
NC_017022	788764	789213	EFAU004_00757
NC_017022	789231	790913	EFAU004_00758
NC_017022	790968	791084	EFAU004_00759
NC_017022	791157	792113	EFAU004_00760
NC_017022	792284	792652	EFAU004_00761
NC_017022	792822	793253	EFAU004_00762
NC_017022	793274	794233	EFAU004_00763
NC_017022	794238	794639	EFAU004_00764
NC_017022	794640	796832	EFAU004_00765
NC_017022	796858	797820	EFAU004_00766
NC_017022	797834	799195	EFAU004_00767
NC_017022	799221	800309	EFAU004_00768
NC_017022	800324	801544	EFAU004_00769
NC_017022	801700	803025	EFAU004_00770
NC_017022	803048	804289	EFAU004_00771
NC_017022	804306	804983	EFAU004_00772
NC_017022	804997	805596	EFAU004_00773
NC_017022	805947	806729	EFAU004_00774
NC_017022	806750	807457	EFAU004_00775
NC_017022	807719	810517	EFAU004_00776
NC_017022	810566	812092	EFAU004_00777
NC_017022	812107	812754	EFAU004_00778
NC_017022	812938	813279	EFAU004_00779
NC_017022	814188	815201	EFAU004_00781
NC_017022	815201	816478	EFAU004_00782
NC_017022	818608	819243	EFAU004_00784
NC_017022	819395	819712	EFAU004_00785
NC_017022	819742	820062	EFAU004_00786
NC_017022	820170	821630	EFAU004_00787
NC_017022	821698	821919	EFAU004_00788
NC_017022	821950	822132	EFAU004_00789
NC_017022	822132	822545	EFAU004_00790
NC_017022	822668	823849	EFAU004_00791
NC_017022	823920	824084	EFAU004_00792
NC_017022	879917	881953	EFAU004_00870
NC_017022	882062	883213	EFAU004_00871
NC_017022	883367	883897	EFAU004_00872
NC_017022	886042	886605	EFAU004_00875
NC_017022	886749	887411	EFAU004_00876
NC_017022	887595	889241	EFAU004_00877
NC_017022	894606	895046	EFAU004_00882
NC_017022	895103	895513	EFAU004_00883
NC_017022	895694	896128	EFAU004_00884
NC_017022	899333	900592	EFAU004_00887
NC_017022	900739	902040	EFAU004_00888
NC_017022	902043	902894	EFAU004_00889
NC_017022	902907	903722	EFAU004_00890
NC_017022	903873	905039	EFAU004_00891
NC_017022	905269	905916	EFAU004_00892
NC_017022	906000	906944	EFAU004_00893
NC_017022	907079	908530	EFAU004_00894
NC_017022	908551	909387	EFAU004_00895
NC_017022	909387	910046	EFAU004_00896
NC_017022	910172	910861	EFAU004_00897
NC_017022	910867	911823	EFAU004_00898
NC_017022	911867	912379	EFAU004_00899
NC_017022	913272	914453	EFAU004_00901
NC_017022	914689	916197	EFAU004_00902
NC_017022	916356	916547	EFAU004_00903
NC_017022	917660	918733	EFAU004_00905
NC_017022	918881	919399	EFAU004_00906
NC_017022	919848	920783	EFAU004_00908
NC_017022	920916	921695	EFAU004_00909
NC_017022	922249	923859	EFAU004_00911
NC_017022	924016	924864	EFAU004_00912
NC_017022	926606	927085	EFAU004_00914
NC_017022	927118	929346	EFAU004_00915
NC_017022	929475	931118	EFAU004_00916
NC_017022	931191	931736	EFAU004_00917
NC_017022	932234	933046	EFAU004_00919
NC_017022	934826	935857	EFAU004_00921
NC_017022	936581	937567	EFAU004_00922
NC_017022	954072	954377	EFAU004_00936
NC_017022	963051	963995	EFAU004_00945
NC_017022	968310	968720	EFAU004_00950
NC_017022	968837	970000	EFAU004_00951
NC_017022	970178	971032	EFAU004_00952
NC_017022	971311	972081	EFAU004_00953
NC_017022	972084	972965	EFAU004_00954
NC_017022	972962	974011	EFAU004_00955
NC_017022	974461	975084	EFAU004_00956
NC_017022	976328	978034	EFAU004_00958
NC_017022	978192	979094	EFAU004_00959
NC_017022	979091	979795	EFAU004_00960
NC_017022	979826	980467	EFAU004_00961
NC_017022	980807	981436	EFAU004_00962
NC_017022	981443	982159	EFAU004_00963
NC_017022	982156	983088	EFAU004_00964
NC_017022	983085	983861	EFAU004_00965
NC_017022	983915	987100	EFAU004_00966
NC_017022	987105	988181	EFAU004_00967
NC_017022	988186	989466	EFAU004_00968
NC_017022	989485	990411	EFAU004_00969
NC_017022	990424	991707	EFAU004_00970
NC_017022	991721	992260	EFAU004_00971
NC_017022	992495	993406	EFAU004_00972
NC_017022	993403	993867	EFAU004_00973
NC_017022	993872	994570	EFAU004_00974
NC_017022	995090	996760	EFAU004_00976
NC_017022	996943	997176	EFAU004_00977
NC_017022	997785	998198	EFAU004_00979
NC_017022	998236	999384	EFAU004_00980
NC_017022	999506	1000102	EFAU004_00981
NC_017022	1000302	1002944	EFAU004_00982
NC_017022	1003332	1003763	EFAU004_00983
NC_017022	1003808	1005157	EFAU004_00984
NC_017022	1006519	1006842	EFAU004_00986
NC_017022	1008443	1009396	EFAU004_00988
NC_017022	1011333	1012016	EFAU004_00991
NC_017022	1012097	1013593	EFAU004_00992
NC_017022	1015403	1015822	EFAU004_00994
NC_017022	1015912	1016451	EFAU004_00995
NC_017022	1017152	1019533	EFAU004_00997
NC_017022	1020489	1021166	EFAU004_00999
NC_017022	1021173	1021871	EFAU004_01000
NC_017022	1023329	1023772	EFAU004_01002
NC_017022	1024456	1025808	EFAU004_01004
NC_017022	1026081	1026527	EFAU004_01005
NC_017022	1026763	1027689	EFAU004_01006
NC_017022	1027829	1028716	EFAU004_01007
NC_017022	1030029	1032026	EFAU004_01009
NC_017022	1032128	1032379	EFAU004_01010
NC_017022	1032526	1033149	EFAU004_01011
NC_017022	1033329	1033547	EFAU004_01012
NC_017022	1033836	1034348	EFAU004_01013
NC_017022	1034362	1036659	EFAU004_01014
NC_017022	1036801	1037235	EFAU004_01015
NC_017022	1037245	1038033	EFAU004_01016
NC_017022	1038030	1038971	EFAU004_01017
NC_017022	1039148	1039735	EFAU004_01018
NC_017022	1039956	1041269	EFAU004_01019
NC_017022	1041557	1042567	EFAU004_01020
NC_017022	1042652	1043587	EFAU004_01021
NC_017022	1044826	1045920	EFAU004_01023
NC_017022	1046109	1046870	EFAU004_01024
NC_017022	1046985	1047425	EFAU004_01025
NC_017022	1047645	1048400	EFAU004_01026
NC_017022	1048510	1049523	EFAU004_01027
NC_017022	1049688	1050608	EFAU004_01028
NC_017022	1051495	1052013	EFAU004_01030
NC_017022	1052014	1053369	EFAU004_01031
NC_017022	1053372	1054205	EFAU004_01032
NC_017022	1054355	1055011	EFAU004_01033
NC_017022	1055027	1055674	EFAU004_01034
NC_017022	1055687	1056502	EFAU004_01035
NC_017022	1056516	1057253	EFAU004_01036
NC_017022	1057507	1058517	EFAU004_01037
NC_017022	1058687	1061107	EFAU004_01038
NC_017022	1061112	1062155	EFAU004_01039
NC_017022	1062464	1062805	EFAU004_01040
NC_017022	1062874	1066596	EFAU004_01041
NC_017022	1066593	1070120	EFAU004_01042
NC_017022	1071820	1073286	EFAU004_01045
NC_017022	1073673	1074269	EFAU004_01046
NC_017022	1074327	1074809	EFAU004_01047
NC_017022	1074915	1075112	EFAU004_01048
NC_017022	1075407	1076165	EFAU004_01049
NC_017022	1076921	1077292	EFAU004_01051
NC_017022	1077507	1077692	EFAU004_01052
NC_017022	1077775	1077963	EFAU004_01053
NC_017022	1077987	1078250	EFAU004_01054
NC_017022	1079411	1079845	EFAU004_01058
NC_017022	1088809	1089642	EFAU004_01067
NC_017022	1089839	1091767	EFAU004_01068
NC_017022	1092830	1093099	EFAU004_01070
NC_017022	1093499	1093753	EFAU004_01071
NC_017022	1093842	1094888	EFAU004_01072
NC_017022	1098443	1099060	EFAU004_01077
NC_017022	1099330	1100373	EFAU004_01078
NC_017022	1100851	1101411	EFAU004_01080
NC_017022	1102279	1103403	EFAU004_01083
NC_017022	1103424	1106852	EFAU004_01084
NC_017022	1106878	1108041	EFAU004_01085
NC_017022	1108044	1108346	EFAU004_01086
NC_017022	1108460	1110232	EFAU004_01087
NC_017022	1110493	1112322	EFAU004_01088
NC_017022	1112490	1113248	EFAU004_01089
NC_017022	1113263	1113538	EFAU004_01090
NC_017022	1113700	1115106	EFAU004_01091
NC_017022	1116782	1117759	EFAU004_01093
NC_017022	1117762	1118871	EFAU004_01094
NC_017022	1119332	1120756	EFAU004_01095
NC_017022	1122254	1123459	EFAU004_01097
NC_017022	1123461	1124987	EFAU004_01098
NC_017022	1125041	1126129	EFAU004_01099
NC_017022	1128823	1130388	EFAU004_01102
NC_017022	1130521	1131435	EFAU004_01103
NC_017022	1131557	1132831	EFAU004_01104
NC_017022	1132847	1134382	EFAU004_01105
NC_017022	1134379	1134957	EFAU004_01106
NC_017022	1134954	1136006	EFAU004_01107
NC_017022	1137453	1139675	EFAU004_01109
NC_017022	1139676	1140347	EFAU004_01110
NC_017022	1140349	1140603	EFAU004_01111
NC_017022	1140603	1141331	EFAU004_01112
NC_017022	1141587	1141964	EFAU004_01113
NC_017022	1143664	1144959	EFAU004_01115
NC_017022	1144972	1146096	EFAU004_01116
NC_017022	1146993	1148300	EFAU004_01118
NC_017022	1148303	1148884	EFAU004_01119
NC_017022	1151371	1152207	EFAU004_01122
NC_017022	1153127	1154410	EFAU004_01124
NC_017022	1155093	1155776	EFAU004_01125
NC_017022	1155794	1156411	EFAU004_01126
NC_017022	1156421	1157245	EFAU004_01127
NC_017022	1157972	1158928	EFAU004_01129
NC_017022	1159233	1160189	EFAU004_01130
NC_017022	1160293	1160895	EFAU004_01131
NC_017022	1160983	1162482	EFAU004_01132
NC_017022	1162498	1163022	EFAU004_01133
NC_017022	1164814	1165530	EFAU004_01136
NC_017022	1165632	1166651	EFAU004_01137
NC_017022	1167949	1169097	EFAU004_01139
NC_017022	1169173	1170009	EFAU004_01140
NC_017022	1170193	1171413	EFAU004_01141
NC_017022	1178549	1179286	EFAU004_01152
NC_017022	1179298	1180290	EFAU004_01153
NC_017022	1180305	1181048	EFAU004_01154
NC_017022	1181289	1182611	EFAU004_01155
NC_017022	1183560	1185098	EFAU004_01157
NC_017022	1185514	1185801	EFAU004_01158
NC_017022	1185935	1186603	EFAU004_01159
NC_017022	1187764	1188711	EFAU004_01161
