Reference genome	Start	End	Core gene
NC_007530	63335	63694	GBAA_RS00345
NC_007530	64843	67314	GBAA_RS00365
NC_007530	67548	68978	GBAA_RS00370
NC_007530	68975	69517	GBAA_RS00375
NC_007530	69603	71504	GBAA_RS00380
NC_007530	71729	72517	GBAA_RS00385
NC_007530	72524	73399	GBAA_RS00390
NC_007530	73504	74427	GBAA_RS00395
NC_007530	74648	76045	GBAA_RS00400
NC_007530	76632	77504	GBAA_RS00410
NC_007530	78340	78702	GBAA_RS00420
NC_007530	78699	79214	GBAA_RS00425
NC_007530	79393	80391	GBAA_RS00435
NC_007530	80551	82050	GBAA_RS00440
NC_007530	87415	87876	GBAA_RS00460
NC_007530	88050	88598	GBAA_RS00465
NC_007530	88603	89667	GBAA_RS00470
NC_007530	89690	92125	GBAA_RS00475
NC_007530	92222	93598	GBAA_RS00480
NC_007530	93602	94675	GBAA_RS00485
NC_007530	94836	95945	GBAA_RS00490
NC_007530	95962	96642	GBAA_RS00495
NC_007530	96757	97233	GBAA_RS00500
NC_007530	97323	98780	GBAA_RS00505
NC_007530	99859	101256	GBAA_RS00515
NC_007530	101259	101666	GBAA_RS00520
NC_007530	101663	102406	GBAA_RS00525
NC_007530	102410	102922	GBAA_RS00530
NC_007530	107065	107424	GBAA_RS00570
NC_007530	107499	108098	GBAA_RS00575
NC_007530	108391	111924	GBAA_RS00580
NC_007530	152603	153496	GBAA_RS00900
NC_007530	154559	156049	GBAA_RS00910
NC_007530	157676	157861	GBAA_RS00920
NC_007530	157874	159676	GBAA_RS00925
NC_007530	160040	160849	GBAA_RS00930
NC_007530	161256	161987	GBAA_RS00935
NC_007530	163635	164981	GBAA_RS00945
NC_007530	165246	166655	GBAA_RS00950
NC_007530	166998	168962	GBAA_RS00955
NC_007530	169081	169647	GBAA_RS00960
NC_007530	169719	170225	GBAA_RS00965
NC_007530	170466	171380	GBAA_RS00970
NC_007530	171380	171871	GBAA_RS00975
NC_007530	175209	176249	GBAA_RS01000
NC_007530	176262	177074	GBAA_RS01005
NC_007530	177354	178262	GBAA_RS01010
NC_007530	178408	179172	GBAA_RS01015
NC_007530	179284	180720	GBAA_RS01020
NC_007530	180717	181250	GBAA_RS01025
NC_007530	181329	183050	GBAA_RS01030
NC_007530	183178	184428	GBAA_RS01035
NC_007530	184679	185179	GBAA_RS01040
NC_007530	185196	185411	GBAA_RS01045
NC_007530	185826	186743	GBAA_RS01050
NC_007530	187721	188731	GBAA_RS01060
NC_007530	188728	189501	GBAA_RS01065
NC_007530	191142	191609	GBAA_RS01075
NC_007530	191781	192680	GBAA_RS01080
NC_007530	192699	192890	GBAA_RS01085
NC_007530	192939	193235	GBAA_RS01090
NC_007530	193280	194920	GBAA_RS01095
NC_007530	195308	196948	GBAA_RS01100
NC_007530	197340	198173	GBAA_RS01105
NC_007530	199166	199816	GBAA_RS01120
NC_007530	199884	200735	GBAA_RS01125
NC_007530	201022	201711	GBAA_RS01130
NC_007530	202657	203604	GBAA_RS01145
NC_007530	203820	203921	GBAA_RS01150
NC_007530	204177	205043	GBAA_RS01160
NC_007530	205171	206139	GBAA_RS01165
NC_007530	206161	206301	GBAA_RS01170
NC_007530	206669	207274	GBAA_RS01175
NC_007530	207749	208726	GBAA_RS01185
NC_007530	208875	209204	GBAA_RS01190
NC_007530	209323	210159	GBAA_RS01195
NC_007530	210297	210653	GBAA_RS01200
NC_007530	211397	212161	GBAA_RS01210
NC_007530	212264	213913	GBAA_RS01215
NC_007530	214164	214697	GBAA_RS01220
NC_007530	214713	215495	GBAA_RS01225
NC_007530	216438	218318	GBAA_RS01240
NC_007530	218560	218757	GBAA_RS01245
NC_007530	218858	218977	GBAA_RS01250
NC_007530	219260	220942	GBAA_RS01255
NC_007530	221051	222007	GBAA_RS01260
NC_007530	222020	222943	GBAA_RS01265
NC_007530	222954	223934	GBAA_RS01270
NC_007530	223931	224941	GBAA_RS01275
NC_007530	226405	226515	GBAA_RS01295
NC_007530	226826	227944	GBAA_RS01300
NC_007530	228933	230105	GBAA_RS01310
NC_007530	230339	231610	GBAA_RS01315
NC_007530	233140	234516	GBAA_RS01330
NC_007530	236504	237466	GBAA_RS01340
NC_007530	238124	238483	GBAA_RS01350
NC_007530	238640	239590	GBAA_RS01355
NC_007530	239709	240878	GBAA_RS01360
NC_007530	241188	241475	GBAA_RS01365
NC_007530	241480	241830	GBAA_RS01370
NC_007530	241898	244066	GBAA_RS01375
NC_007530	244124	244240	GBAA_RS01380
NC_007530	244436	244894	GBAA_RS01385
NC_007530	251789	252481	GBAA_RS01475
NC_007530	252495	252938	GBAA_RS01480
NC_007530	252938	253954	GBAA_RS01485
NC_007530	254436	256412	GBAA_RS01490
NC_007530	256546	257175	GBAA_RS01495
NC_007530	257205	257396	GBAA_RS01500
NC_007530	257393	258142	GBAA_RS01505
NC_007530	258543	258827	GBAA_RS01510
NC_007530	264986	266491	GBAA_RS01535
NC_007530	331336	332079	GBAA_RS01820
NC_007530	332159	333598	GBAA_RS01825
NC_007530	335071	336522	GBAA_RS01835
NC_007530	336570	336893	GBAA_RS01840
NC_007530	336933	338162	GBAA_RS01845
NC_007530	338279	339361	GBAA_RS01850
NC_007530	339513	340616	GBAA_RS01855
NC_007530	340856	342052	GBAA_RS01860
NC_007530	342478	343854	GBAA_RS01865
NC_007530	343951	344940	GBAA_RS01870
NC_007530	345201	345770	GBAA_RS01875
NC_007530	346656	347363	GBAA_RS01885
NC_007530	347563	348258	GBAA_RS01890
NC_007530	348273	349382	GBAA_RS01895
NC_007530	350735	352156	GBAA_RS01905
NC_007530	352436	353551	GBAA_RS01910
NC_007530	353703	354311	GBAA_RS01915
NC_007530	354356	355882	GBAA_RS01920
NC_007530	355897	356460	GBAA_RS01925
NC_007530	357051	358280	GBAA_RS01930
NC_007530	358293	359336	GBAA_RS01935
NC_007530	359391	360032	GBAA_RS01940
NC_007530	360073	361080	GBAA_RS01945
NC_007530	361077	362117	GBAA_RS01950
NC_007530	362166	363083	GBAA_RS01955
NC_007530	363416	364465	GBAA_RS01960
NC_007530	364662	365030	GBAA_RS01970
NC_007530	365221	365451	GBAA_RS01975
NC_007530	365687	366208	GBAA_RS01980
NC_007530	366229	366678	GBAA_RS01985
NC_007530	366841	367509	GBAA_RS01990
NC_007530	367746	369011	GBAA_RS01995
NC_007530	369148	369249	GBAA_RS02000
NC_007530	369293	369409	GBAA_RS02005
NC_007530	369489	369665	GBAA_RS02010
NC_007530	369889	370269	GBAA_RS02015
NC_007530	370298	370930	GBAA_RS02020
NC_007530	371279	372388	GBAA_RS02025
NC_007530	372511	373293	GBAA_RS02030
NC_007530	373308	374609	GBAA_RS02035
NC_007530	374753	376279	GBAA_RS02040
NC_007530	376862	377947	GBAA_RS02045
NC_007530	378000	378692	GBAA_RS02050
NC_007530	378787	379581	GBAA_RS02055
NC_007530	379703	380425	GBAA_RS02060
NC_007530	382527	383819	GBAA_RS02075
NC_007530	387535	388326	GBAA_RS02090
NC_007530	388632	391457	GBAA_RS02095
NC_007530	391498	393687	GBAA_RS02100
NC_007530	394096	394902	GBAA_RS02105
NC_007530	394919	395578	GBAA_RS02110
NC_007530	395694	397007	GBAA_RS02115
NC_007530	397518	399257	GBAA_RS02120
NC_007530	399813	400586	GBAA_RS02130
NC_007530	400583	401581	GBAA_RS02135
NC_007530	401578	402327	GBAA_RS02140
NC_007530	402619	404163	GBAA_RS02145
NC_007530	404624	406648	GBAA_RS02150
NC_007530	407020	407391	GBAA_RS02155
NC_007530	407402	407716	GBAA_RS02160
NC_007530	407730	407981	GBAA_RS02165
NC_007530	408264	408845	GBAA_RS02170
NC_007530	408912	410144	GBAA_RS02175
NC_007530	410201	410452	GBAA_RS02180
NC_007530	410465	410857	GBAA_RS02185
NC_007530	410884	412167	GBAA_RS02190
NC_007530	412276	413589	GBAA_RS02195
NC_007530	413743	414036	GBAA_RS02200
NC_007530	414384	415910	GBAA_RS02205
NC_007530	416891	417769	GBAA_RS02215
NC_007530	417898	418494	GBAA_RS02220
NC_007530	418518	419102	GBAA_RS02225
NC_007530	419183	419767	GBAA_RS02230
NC_007530	419841	420632	GBAA_RS02235
NC_007530	420742	422373	GBAA_RS02240
NC_007530	422392	423474	GBAA_RS02245
NC_007530	423510	426176	GBAA_RS02250
NC_007530	426368	426592	GBAA_RS02255
NC_007530	426767	427231	GBAA_RS02260
NC_007530	427806	428675	GBAA_RS02270
NC_007530	428860	430785	GBAA_RS02275
NC_007530	431056	432006	GBAA_RS02280
NC_007530	432129	432809	GBAA_RS02285
NC_007530	433618	436380	GBAA_RS02295
NC_007530	436855	437445	GBAA_RS02300
NC_007530	437454	437882	GBAA_RS02305
NC_007530	437989	438135	GBAA_RS02310
NC_007530	438289	438705	GBAA_RS02315
NC_007530	438885	439940	GBAA_RS02320
NC_007530	440022	440819	GBAA_RS02325
NC_007530	440854	441981	GBAA_RS02330
NC_007530	442195	442377	GBAA_RS02335
NC_007530	442527	444104	GBAA_RS02340
NC_007530	444231	445013	GBAA_RS02345
NC_007530	445073	445261	GBAA_RS02350
NC_007530	445295	445936	GBAA_RS02355
NC_007530	445947	447326	GBAA_RS02360
NC_007530	447387	448511	GBAA_RS02365
NC_007530	449227	449571	GBAA_RS02370
NC_007530	450106	451281	GBAA_RS02375
NC_007530	451299	451445	GBAA_RS02380
NC_007530	451775	452116	GBAA_RS02385
NC_007530	452291	452512	GBAA_RS02390
NC_007530	453850	454035	GBAA_RS02410
NC_007530	456365	456781	GBAA_RS02440
NC_007530	456797	457261	GBAA_RS02445
NC_007530	457299	457478	GBAA_RS02450
NC_007530	458011	458610	GBAA_RS02460
NC_007530	459223	459627	GBAA_RS02470
NC_007530	459627	460073	GBAA_RS02475
NC_007530	460114	460296	GBAA_RS02480
NC_007530	460328	460702	GBAA_RS02485
NC_007530	460808	461164	GBAA_RS02490
NC_007530	461192	461380	GBAA_RS02495
NC_007530	461385	461507	GBAA_RS02500
NC_007530	461821	462303	GBAA_RS02510
NC_007530	462303	462596	GBAA_RS02515
NC_007530	462624	462845	GBAA_RS02520
NC_007530	463434	463736	GBAA_RS02525
NC_007530	463733	463900	GBAA_RS02530
NC_007530	464144	464515	GBAA_RS02535
NC_007530	464512	466200	GBAA_RS02540
NC_007530	467393	467974	GBAA_RS02555
NC_007530	467993	469183	GBAA_RS02560
NC_007530	469199	469456	GBAA_RS02565
NC_007530	469453	469725	GBAA_RS02570
NC_007530	470014	470370	GBAA_RS02580
NC_007530	470367	470696	GBAA_RS02585
NC_007530	470697	471266	GBAA_RS02590
NC_007530	471271	471633	GBAA_RS02595
NC_007530	471875	475810	GBAA_RS02600
NC_007530	475807	476616	GBAA_RS02605
NC_007530	476631	480209	GBAA_RS02610
NC_007530	482157	482636	GBAA_RS02625
NC_007530	482731	482970	GBAA_RS02630
NC_007530	483186	483983	GBAA_RS02635
NC_007530	484037	484372	GBAA_RS02640
NC_007530	485540	485743	GBAA_RS02650
NC_007530	487504	487758	GBAA_RS02660
NC_007530	487863	489284	GBAA_RS02665
NC_007530	489380	490660	GBAA_RS02670
NC_007530	490755	491408	GBAA_RS02675
NC_007530	491538	492149	GBAA_RS02680
NC_007530	492445	492786	GBAA_RS02690
NC_007530	494216	495709	GBAA_RS02705
NC_007530	495964	497202	GBAA_RS02710
NC_007530	497356	497757	GBAA_RS02715
NC_007530	497949	499529	GBAA_RS02725
NC_007530	501717	503261	GBAA_RS02745
NC_007530	503601	505850	GBAA_RS02755
NC_007530	505920	506651	GBAA_RS02760
NC_007530	507064	508230	GBAA_RS02765
NC_007530	508595	508714	GBAA_RS02770
NC_007530	508825	509382	GBAA_RS02775
NC_007530	509624	510754	GBAA_RS02780
NC_007530	510895	511800	GBAA_RS02785
NC_007530	511882	512694	GBAA_RS02790
NC_007530	512704	513021	GBAA_RS02795
NC_007530	513086	513238	GBAA_RS02800
NC_007530	513282	513440	GBAA_RS02805
NC_007530	513562	513828	GBAA_RS02810
NC_007530	513853	514833	GBAA_RS02815
NC_007530	514983	516080	GBAA_RS02820
NC_007530	516115	516339	GBAA_RS02825
NC_007530	516465	516752	GBAA_RS02830
NC_007530	516941	517201	GBAA_RS02835
NC_007530	517434	517964	GBAA_RS02840
NC_007530	518019	519779	GBAA_RS02845
NC_007530	519793	520881	GBAA_RS02850
NC_007530	521142	525578	GBAA_RS02855
NC_007530	525778	527082	GBAA_RS02860
NC_007530	527204	528217	GBAA_RS02865
NC_007530	529006	529791	GBAA_RS02875
NC_007530	529864	530268	GBAA_RS02880
NC_007530	530313	530768	GBAA_RS02885
NC_007530	531066	531494	GBAA_RS02890
NC_007530	531693	532049	GBAA_RS02895
NC_007530	538848	539168	GBAA_RS02990
NC_007530	539521	540240	GBAA_RS02995
NC_007530	540391	540852	GBAA_RS03000
NC_007530	541339	542115	GBAA_RS03005
NC_007530	542303	542956	GBAA_RS03010
NC_007530	543343	544485	GBAA_RS03020
NC_007530	544530	545417	GBAA_RS03025
NC_007530	545476	545964	GBAA_RS03030
NC_007530	546092	548161	GBAA_RS03035
NC_007530	548553	550448	GBAA_RS03045
NC_007530	550894	552069	GBAA_RS03055
NC_007530	593100	593612	GBAA_RS03215
NC_007530	593759	595222	GBAA_RS03220
NC_007530	595288	595959	GBAA_RS03225
NC_007530	596793	597299	GBAA_RS03235
NC_007530	597528	598334	GBAA_RS03240
NC_007530	598638	601574	GBAA_RS03245
NC_007530	601725	602069	GBAA_RS03250
NC_007530	602226	604097	GBAA_RS03255
NC_007530	604465	605598	GBAA_RS03260
NC_007530	605702	607117	GBAA_RS03265
NC_007530	607384	607761	GBAA_RS03270
NC_007530	607786	610152	GBAA_RS03275
NC_007530	610356	611819	GBAA_RS03280
NC_007530	616279	616797	GBAA_RS03300
NC_007530	616813	617085	GBAA_RS03305
NC_007530	617134	618396	GBAA_RS03310
NC_007530	618631	619644	GBAA_RS03315
NC_007530	619908	621086	GBAA_RS03320
NC_007530	621178	621564	GBAA_RS03325
NC_007530	621672	622757	GBAA_RS03330
NC_007530	622841	624274	GBAA_RS03335
NC_007530	631271	632329	GBAA_RS03370
NC_007530	633195	633926	GBAA_RS03380
NC_007530	634139	635329	GBAA_RS03385
NC_007530	636393	636815	GBAA_RS03395
NC_007530	636855	638735	GBAA_RS03400
NC_007530	638739	639632	GBAA_RS03405
NC_007530	639760	641289	GBAA_RS03410
NC_007530	642437	644140	GBAA_RS03425
NC_007530	644171	645568	GBAA_RS03430
NC_007530	646020	646730	GBAA_RS03435
NC_007530	646868	648295	GBAA_RS03440
NC_007530	648309	649970	GBAA_RS03445
NC_007530	650002	651126	GBAA_RS03450
NC_007530	652194	653696	GBAA_RS03460
NC_007530	653846	654532	GBAA_RS03465
NC_007530	654556	655527	GBAA_RS03470
NC_007530	655655	657115	GBAA_RS03475
NC_007530	657252	657980	GBAA_RS03480
NC_007530	657993	658823	GBAA_RS03485
NC_007530	658886	659542	GBAA_RS03490
NC_007530	659543	660187	GBAA_RS03495
NC_007530	660392	661819	GBAA_RS03500
NC_007530	663367	664800	GBAA_RS03520
NC_007530	664834	665814	GBAA_RS03525
NC_007530	665894	666415	GBAA_RS03530
NC_007530	666429	667820	GBAA_RS03535
NC_007530	667832	668509	GBAA_RS03540
NC_007530	670092	671543	GBAA_RS03550
NC_007530	671609	672031	GBAA_RS03555
NC_007530	672249	672365	GBAA_RS03560
NC_007530	674265	675170	GBAA_RS03570
NC_007530	675189	676157	GBAA_RS03575
NC_007530	678389	679738	GBAA_RS03590
NC_007530	680011	680469	GBAA_RS03595
NC_007530	682206	683198	GBAA_RS03610
NC_007530	683212	684108	GBAA_RS03615
NC_007530	684105	684500	GBAA_RS03620
NC_007530	684519	686003	GBAA_RS03625
NC_007530	686006	686941	GBAA_RS03630
NC_007530	686956	687882	GBAA_RS03635
NC_007530	687917	688564	GBAA_RS03640
NC_007530	688881	691280	GBAA_RS03645
NC_007530	691599	691940	GBAA_RS03650
NC_007530	691978	693150	GBAA_RS03655
NC_007530	696070	697071	GBAA_RS03675
NC_007530	698339	699652	GBAA_RS03685
NC_007530	699660	700811	GBAA_RS03690
NC_007530	700984	701187	GBAA_RS03695
NC_007530	701245	702057	GBAA_RS03700
NC_007530	702190	703134	GBAA_RS03705
NC_007530	703355	704617	GBAA_RS03710
NC_007530	704941	705414	GBAA_RS03720
NC_007530	705531	706163	GBAA_RS03725
NC_007530	709267	710988	GBAA_RS03740
NC_007530	711024	712571	GBAA_RS03745
NC_007530	712753	714144	GBAA_RS03750
NC_007530	714425	715717	GBAA_RS03755
NC_007530	715849	716049	GBAA_RS03760
NC_007530	716054	716482	GBAA_RS03765
NC_007530	716520	716957	GBAA_RS03770
NC_007530	716972	717229	GBAA_RS03775
NC_007530	717283	719112	GBAA_RS03780
NC_007530	719646	720248	GBAA_RS03790
NC_007530	720262	722196	GBAA_RS03795
NC_007530	722230	723105	GBAA_RS03800
NC_007530	723387	723584	GBAA_RS03805
NC_007530	723641	724351	GBAA_RS03810
NC_007530	724484	725659	GBAA_RS03815
NC_007530	725661	725858	GBAA_RS03820
NC_007530	725855	727327	GBAA_RS03825
NC_007530	727430	728908	GBAA_RS03830
NC_007530	730017	731183	GBAA_RS03840
NC_007530	731394	732794	GBAA_RS03850
NC_007530	733491	733748	GBAA_RS03860
NC_007530	734261	735160	GBAA_RS03865
NC_007530	735231	736121	GBAA_RS03870
NC_007530	736124	737044	GBAA_RS03875
NC_007530	737230	737754	GBAA_RS03880
NC_007530	737798	740842	GBAA_RS03885
NC_007530	748237	748656	GBAA_RS04000
NC_007530	748951	750102	GBAA_RS04005
NC_007530	750331	750663	GBAA_RS04015
NC_007530	750669	751829	GBAA_RS04020
NC_007530	753124	753873	GBAA_RS04030
NC_007530	753873	754625	GBAA_RS04035
NC_007530	754622	755623	GBAA_RS04040
NC_007530	756247	757356	GBAA_RS04050
NC_007530	757372	757575	GBAA_RS04055
NC_007530	758341	759360	GBAA_RS04065
NC_007530	760916	761146	GBAA_RS04080
NC_007530	761653	761757	GBAA_RS04085
NC_007530	761754	761834	GBAA_RS04090
NC_007530	763535	765625	GBAA_RS04100
NC_007530	765642	766223	GBAA_RS04105
NC_007530	767459	768640	GBAA_RS04115
NC_007530	768781	769242	GBAA_RS04120
NC_007530	770353	770556	GBAA_RS04130
NC_007530	770654	771955	GBAA_RS04135
NC_007530	772157	773023	GBAA_RS04140
NC_007530	773955	774206	GBAA_RS04150
NC_007530	774217	775158	GBAA_RS04155
NC_007530	775155	776630	GBAA_RS04160
NC_007530	778153	779139	GBAA_RS04170
NC_007530	779257	779472	GBAA_RS04175
NC_007530	779545	779964	GBAA_RS04180
NC_007530	779977	780396	GBAA_RS04185
NC_007530	780562	780810	GBAA_RS04190
NC_007530	780927	781436	GBAA_RS04195
NC_007530	782603	783685	GBAA_RS04205
NC_007530	783682	785187	GBAA_RS04210
NC_007530	786140	786700	GBAA_RS04225
NC_007530	786816	788234	GBAA_RS04230
NC_007530	788342	789604	GBAA_RS04235
NC_007530	789726	790196	GBAA_RS04240
NC_007530	790294	790878	GBAA_RS04245
NC_007530	791012	791596	GBAA_RS04250
NC_007530	791805	793469	GBAA_RS04255
NC_007530	793655	793918	GBAA_RS04260
NC_007530	794007	794567	GBAA_RS04265
NC_007530	794606	795736	GBAA_RS04270
NC_007530	795768	795998	GBAA_RS04275
NC_007530	796057	796389	GBAA_RS04280
NC_007530	796404	796700	GBAA_RS04285
NC_007530	796761	797240	GBAA_RS04290
NC_007530	797274	798038	GBAA_RS04295
NC_007530	798072	798512	GBAA_RS04300
NC_007530	798658	799854	GBAA_RS04305
NC_007530	800168	801166	GBAA_RS04310
NC_007530	803187	804386	GBAA_RS04320
NC_007530	805866	807806	GBAA_RS04330
NC_007530	807918	808238	GBAA_RS04335
NC_007530	808240	808545	GBAA_RS04340
NC_007530	808628	809938	GBAA_RS04345
NC_007530	810182	811267	GBAA_RS04355
NC_007530	813268	814443	GBAA_RS04365
NC_007530	814446	815120	GBAA_RS04370
NC_007530	815117	816223	GBAA_RS04375
NC_007530	816434	817168	GBAA_RS04380
NC_007530	818124	819128	GBAA_RS04390
NC_007530	820708	821277	GBAA_RS04400
NC_007530	821290	821553	GBAA_RS04405
NC_007530	821562	821777	GBAA_RS04410
NC_007530	821872	822231	GBAA_RS04415
NC_007530	822246	823025	GBAA_RS04420
NC_007530	823043	823855	GBAA_RS04425
NC_007530	824208	824489	GBAA_RS04430
NC_007530	824500	825105	GBAA_RS04435
NC_007530	825210	825578	GBAA_RS04440
NC_007530	825599	825943	GBAA_RS04445
NC_007530	826781	829240	GBAA_RS04455
NC_007530	829320	829523	GBAA_RS04460
NC_007530	829735	831138	GBAA_RS04470
NC_007530	831415	832542	GBAA_RS04475
NC_007530	832668	832982	GBAA_RS04480
NC_007530	833012	833875	GBAA_RS04485
NC_007530	834031	834915	GBAA_RS04490
NC_007530	834940	836304	GBAA_RS04495
NC_007530	841612	841956	GBAA_RS04535
NC_007530	841959	842273	GBAA_RS04540
NC_007530	842403	842981	GBAA_RS04545
NC_007530	843192	844394	GBAA_RS04550
NC_007530	844428	844766	GBAA_RS04555
NC_007530	844935	845474	GBAA_RS04560
NC_007530	845494	846042	GBAA_RS04565
NC_007530	846115	847854	GBAA_RS04570
NC_007530	847960	849216	GBAA_RS04575
NC_007530	849261	849464	GBAA_RS04580
NC_007530	849702	850217	GBAA_RS04585
NC_007530	850241	852238	GBAA_RS04590
NC_007530	852431	853630	GBAA_RS04595
NC_007530	853691	855121	GBAA_RS04600
NC_007530	855644	856474	GBAA_RS04605
NC_007530	856587	857678	GBAA_RS04610
NC_007530	857753	859192	GBAA_RS04615
NC_007530	859783	861543	GBAA_RS04625
NC_007530	863815	864612	GBAA_RS04635
NC_007530	865326	866060	GBAA_RS04645
NC_007530	866112	866315	GBAA_RS04650
NC_007530	866672	866917	GBAA_RS04655
NC_007530	866934	868394	GBAA_RS04660
NC_007530	868415	869467	GBAA_RS04665
NC_007530	869602	870738	GBAA_RS04670
NC_007530	870880	871236	GBAA_RS04675
NC_007530	871275	871871	GBAA_RS04680
NC_007530	871893	872453	GBAA_RS04685
NC_007530	872858	874546	GBAA_RS04690
NC_007530	874563	875321	GBAA_RS04695
NC_007530	875358	875714	GBAA_RS04700
NC_007530	875736	876353	GBAA_RS04705
NC_007530	876494	877366	GBAA_RS04710
NC_007530	882814	884304	GBAA_RS04725
NC_007530	884619	886175	GBAA_RS04730
NC_007530	886203	886667	GBAA_RS04735
NC_007530	886856	888334	GBAA_RS04740
NC_007530	888677	888931	GBAA_RS04745
NC_007530	889290	889661	GBAA_RS04750
NC_007530	889763	890644	GBAA_RS04755
NC_007530	890659	893025	GBAA_RS04760
NC_007530	893308	894828	GBAA_RS04765
NC_007530	894970	896073	GBAA_RS04770
NC_007530	896749	899193	GBAA_RS04775
NC_007530	899915	902503	GBAA_RS04780
NC_007530	902599	903789	GBAA_RS04785
NC_007530	903814	905229	GBAA_RS04790
NC_007530	905456	906913	GBAA_RS04795
NC_007530	906923	907954	GBAA_RS04800
NC_007530	908096	909475	GBAA_RS04805
NC_007530	909777	910565	GBAA_RS04810
NC_007530	910639	910797	GBAA_RS04815
NC_007530	910815	911120	GBAA_RS04820
NC_007530	911159	911338	GBAA_RS04825
NC_007530	911465	912514	GBAA_RS04830
NC_007530	912754	914343	GBAA_RS04835
NC_007530	914476	915429	GBAA_RS04840
NC_007530	916012	917007	GBAA_RS04850
NC_007530	917027	918004	GBAA_RS04855
NC_007530	919359	920030	GBAA_RS04865
NC_007530	923705	924655	GBAA_RS04890
NC_007530	924662	925513	GBAA_RS04895
NC_007530	926525	927496	GBAA_RS04905
NC_007530	928136	928765	GBAA_RS04910
NC_007530	928935	929507	GBAA_RS04915
NC_007530	930132	930590	GBAA_RS04925
NC_007530	931159	932481	GBAA_RS04935
NC_007530	932707	934296	GBAA_RS04940
NC_007530	934315	934992	GBAA_RS04945
NC_007530	934989	935966	GBAA_RS04950
NC_007530	936190	937395	GBAA_RS04955
NC_007530	937495	940026	GBAA_RS04960
NC_007530	942789	943127	GBAA_RS04970
NC_007530	943131	943382	GBAA_RS04975
NC_007530	943391	944134	GBAA_RS04980
NC_007530	944188	944514	GBAA_RS04985
NC_007530	944715	945575	GBAA_RS04990
NC_007530	947185	947601	GBAA_RS05005
NC_007530	947623	947967	GBAA_RS05010
NC_007530	948302	949087	GBAA_RS05015
NC_007530	949198	949965	GBAA_RS05020
NC_007530	950645	951220	GBAA_RS05030
NC_007530	952865	953392	GBAA_RS05040
NC_007530	953389	953871	GBAA_RS05045
NC_007530	954406	954531	GBAA_RS05055
NC_007530	954731	954997	GBAA_RS05060
NC_007530	955345	956751	GBAA_RS05065
NC_007530	957183	957767	GBAA_RS05075
NC_007530	957884	958438	GBAA_RS05080
NC_007530	958793	960676	GBAA_RS05085
NC_007530	960734	961300	GBAA_RS05090
NC_007530	961718	961984	GBAA_RS05095
NC_007530	962365	962721	GBAA_RS05100
NC_007530	963444	964028	GBAA_RS05110
NC_007530	964052	964423	GBAA_RS05115
NC_007530	964716	965369	GBAA_RS05120
NC_007530	965727	966365	GBAA_RS05125
NC_007530	966465	967463	GBAA_RS05130
NC_007530	967483	968049	GBAA_RS05135
NC_007530	970033	970695	GBAA_RS05145
NC_007530	970906	971412	GBAA_RS05150
NC_007530	971616	972005	GBAA_RS05155
NC_007530	972630	973463	GBAA_RS05160
NC_007530	973558	973752	GBAA_RS05165
NC_007530	974011	974292	GBAA_RS05170
NC_007530	974847	975971	GBAA_RS05175
